state,year,population,natural_increase_rate
Terengganu,2019,2489.1,1.318842349493221
Terengganu,2020,2298.9,-7.641316138363252
Terengganu,2021,2341.5,1.8530601592065654
Terengganu,2022,2373.2999999999997,1.358103779628439
Terengganu,2023,2420.1,1.9719378081152872
Terengganu,2024,2463.1,1.7767860832196947
Terengganu,2025,2494.0,1.254516665990013
W.P. Kuala Lumpur,2017,3586.3,0.19276973794490893
W.P. Kuala Lumpur,2018,3579.9,-0.178456905445723
W.P. Kuala Lumpur,2019,3565.1,-0.41341936925612943
W.P. Kuala Lumpur,2020,3964.1,11.19183192617319
W.P. Kuala Lumpur,2021,3928.1,-0.9081506521026239
W.P. Kuala Lumpur,2022,3922.3,-0.147654082126214
W.P. Kuala Lumpur,2023,4011.3,2.2690768171735876
W.P. Kuala Lumpur,2024,4135.1,3.086281255453338
W.P. Kuala Lumpur,2025,4148.0,0.31196343498343104
W.P. Labuan,2017,195.29999999999998,0.7739938080495445
W.P. Labuan,2018,197.9,1.331285202252963
W.P. Labuan,2019,198.6,0.3537139969681524
W.P. Labuan,2020,190.1,-4.279959718026182
W.P. Labuan,2021,191.9,0.946870068385075
W.P. Labuan,2022,193.8,0.990099009900991
W.P. Labuan,2023,198.1,2.2187822497419907
W.P. Labuan,2024,201.7,1.8172640080767355
W.P. Labuan,2025,201.8,0.04957858205256738
W.P. Putrajaya,2017,175.3,3.789224393132029
W.P. Putrajaya,2018,194.4,10.895607529948649
W.P. Putrajaya,2019,207.3,6.635802469135799
W.P. Putrajaya,2020,218.4,5.354558610709104
W.P. Putrajaya,2021,230.6,5.586080586080588
W.P. Putrajaya,2022,234.1,1.5177797051170838
W.P. Putrajaya,2023,237.7,1.537804357112349
W.P. Putrajaya,2024,240.6,1.2200252419015678
W.P. Putrajaya,2025,241.4,0.33250207813799726
